# Sweep #00050	3:42:31 PM 1/16/2018
# DAQ: PCI-6221; 16 bits; Timebase 80MHz; Max ADC 250kHz, ETS 20MHz
# Resolutions: Src ADC 0.0uV; Resp ADC 0.0uV
# Max ADC V: Src 0.0V; Resp 0.0V; Repeat 3; Settle 0.080sec
# Waveform Sampling: 25.0 cycles @ 7.5 samples/cycle; no preaveraging
# Signal Generator: Agilent Technologies 33220A Waveform Generator
# Generator:        	                    	                    	Input:              	                    	                    	                    	Response:           	                    	                    	                    
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
12981.54            	0.05000000          	0.000000            	0.04851485          	0.00002320866       	-8.976502           	0.06388001          	0.1560838           	0.00004759937       	-17.51153           	0.1507588           
13061.22            	0.05000000          	0.000000            	0.04841227          	0.00002063030       	-9.334045           	0.1970095           	0.1600186           	0.00002024900       	-17.93751           	0.04589948          
13092.72            	0.05000000          	0.000000            	0.04839661          	0.000002442739      	-9.381072           	0.08620146          	0.1617379           	0.00002387473       	-18.29793           	0.05498904          
13203.91            	0.05000000          	0.000000            	0.04827047          	0.00003347979       	-9.855237           	0.1584459           	0.1678816           	0.00002656936       	-19.06637           	0.08400635          
13265.31            	0.05000000          	0.000000            	0.04816617          	0.00002827813       	-9.924792           	0.06120056          	0.1714860           	0.00002931581       	-19.62369           	0.06657464          
13315.10            	0.05000000          	0.000000            	0.04808466          	0.00002060029       	-10.20504           	0.04519528          	0.1744889           	0.00001453616       	-20.03812           	0.05210000          
13426.28            	0.05000000          	0.000000            	0.04790354          	0.00003809402       	-10.80981           	0.2487121           	0.1816824           	0.00004013339       	-20.96137           	0.02571800          
13469.39            	0.05000000          	0.000000            	0.04780419          	0.00002393168       	-10.76860           	0.1272609           	0.1846110           	0.00004972567       	-21.42307           	0.05315103          
13537.47            	0.05000000          	0.000000            	0.04765262          	0.00001314328       	-11.16026           	0.1389850           	0.1895000           	0.00001005538       	-22.06071           	0.03938250          
13648.65            	0.05000000          	0.000000            	0.04739230          	0.000003804353      	-11.50319           	0.03152340          	0.1980234           	0.00001464965       	-23.21996           	0.05414745          
13673.47            	0.05000000          	0.000000            	0.04733217          	0.00001507790       	-11.77147           	0.08918790          	0.2000200           	0.000007033473      	-23.64259           	0.02823803          
13759.84            	0.05000000          	0.000000            	0.04711619          	0.00005651951       	-12.17345           	0.08477867          	0.2072909           	0.00004086539       	-24.71576           	0.02413577          
13871.03            	0.05000000          	0.000000            	0.04677032          	0.00002529735       	-12.58583           	0.2182739           	0.2175562           	0.00005530770       	-26.10440           	0.04972856          
13877.55            	0.05000000          	0.000000            	0.04668399          	0.00003304796       	-12.72518           	0.07606105          	0.2181805           	0.00003923321       	-26.08844           	0.01902627          
13982.21            	0.05000000          	0.000000            	0.04633033          	0.00002408265       	-13.47119           	0.06444993          	0.2287249           	0.00003075299       	-27.55461           	0.1031446           
14081.63            	0.05000000          	0.000000            	0.04592136          	0.00003358031       	-14.04098           	0.05096169          	0.2397791           	0.00008517213       	-29.21553           	0.07818803          
14093.40            	0.05000000          	0.000000            	0.04581190          	0.00009850272       	-13.88628           	0.1093873           	0.2409807           	0.00008989797       	-29.41218           	0.06355466          
14204.59            	0.05000000          	0.000000            	0.04533523          	0.00002808119       	-14.82335           	0.05883843          	0.2546022           	0.00002200818       	-31.46898           	0.05964191          
14285.71            	0.05000000          	0.000000            	0.04481326          	0.00001942585       	-15.28011           	0.04740670          	0.2652522           	0.00005599930       	-33.11398           	0.07440233          
14315.77            	0.05000000          	0.000000            	0.04463633          	0.00004391047       	-15.64877           	0.1698785           	0.2694036           	0.00004810948       	-33.73481           	0.08404815          
14426.96            	0.03500000          	0.000000            	0.03068743          	0.00001456985       	-15.58281           	0.3158302           	0.1999964           	0.00001773999       	-35.82934           	0.04992589          
14426.96            	0.05000000          	0.000000            	0.04371827          	0.00002760573       	-16.54147           	0.08815118          	0.2857689           	0.00003174963       	-36.29824           	0.09394401          
14469.89            	0.03500000          	0.000000            	0.03041165          	0.00001344191       	-16.31008           	0.2000453           	0.2047566           	0.00001855482       	-36.84728           	0.06584958          
14489.80            	0.05000000          	0.000000            	0.04326752          	0.00001274509       	-17.04685           	0.1898448           	0.2956375           	0.00002414749       	-37.81308           	0.04510245          
14512.82            	0.03500000          	0.000000            	0.03013804          	0.00003006181       	-16.22742           	0.1282974           	0.2096619           	0.00004174282       	-38.10050           	0.05907284          
14538.15            	0.05000000          	0.000000            	0.04282737          	0.00001550620       	-17.16246           	0.08216724          	0.3036589           	0.00001670623       	-39.14842           	0.02861595          
14555.75            	0.03500000          	0.000000            	0.02983873          	0.00001980236       	-16.98606           	0.09084320          	0.2146625           	0.00001266037       	-39.26437           	0.02113347          
14598.69            	0.03500000          	0.000000            	0.02957212          	0.00001504877       	-17.15939           	0.04700846          	0.2198431           	0.00002539076       	-40.48411           	0.02758223          
14641.62            	0.03500000          	0.000000            	0.02925002          	0.00001508691       	-17.56990           	0.08187235          	0.2251838           	0.00004649472       	-41.80136           	0.05055290          
14649.33            	0.05000000          	0.000000            	0.04161470          	0.000004927625      	-17.99408           	0.04682479          	0.3229757           	0.000004893010      	-42.33654           	0.03163360          
14684.55            	0.03500000          	0.000000            	0.02884638          	0.00002344689       	-18.10139           	0.1616825           	0.2307729           	0.00005442169       	-43.21224           	0.08955186          
14693.88            	0.05000000          	0.000000            	0.04107551          	0.00002518946       	-18.33232           	0.02812238          	0.3313773           	0.00003796360       	-43.86650           	0.01952876          
14693.88            	0.05000000          	0.000000            	0.04105919          	0.000006471795      	-18.51253           	0.1249198           	0.3313661           	0.00003340066       	-43.81519           	0.03378359          
14727.20            	0.05000000          	0.000000            	0.04065602          	0.000009342088      	-18.77445           	0.1245145           	0.3375995           	0.00003427309       	-44.96062           	0.03790883          
14727.48            	0.03500000          	0.000000            	0.02847670          	0.00002008886       	-18.48211           	0.2061252           	0.2364384           	0.00002800220       	-44.68201           	0.02940816          
14760.52            	0.05000000          	0.000000            	0.04022143          	0.000005936568      	-18.70495           	0.1125265           	0.3440922           	0.00002543454       	-46.16584           	0.04966944          
14760.52            	0.05000000          	0.000000            	0.04019802          	0.000007882631      	-19.10920           	0.1402702           	0.3440391           	0.00005992655       	-46.14789           	0.1135316           
14770.41            	0.03500000          	0.000000            	0.02807129          	0.000004767560      	-18.51239           	0.1052762           	0.2421041           	0.00001821372       	-46.05944           	0.04425473          
14793.84            	0.05000000          	0.000000            	0.03971731          	0.00005987749       	-19.25136           	0.08752321          	0.3506249           	0.00005685718       	-47.38728           	0.03365059          
14813.34            	0.03500000          	0.000000            	0.02765180          	0.00001909381       	-19.01848           	0.2506737           	0.2481525           	0.00005557358       	-47.82942           	0.03053186          
14827.16            	0.05000000          	0.000000            	0.03920292          	0.00004305754       	-19.28497           	0.1339956           	0.3573068           	0.00003133993       	-48.60263           	0.005455973         
14856.28            	0.03500000          	0.000000            	0.02712117          	0.00001346535       	-19.16206           	0.06253340          	0.2542003           	0.00006720394       	-49.48626           	0.03062174          
14860.48            	0.05000000          	0.000000            	0.03868221          	0.00002617860       	-19.55283           	0.07914029          	0.3639675           	0.00001201332       	-49.83884           	0.03366677          
14893.80            	0.05000000          	0.000000            	0.03814858          	0.00002473769       	-19.34749           	0.06529613          	0.3707507           	0.000007558351      	-51.28843           	0.01326441          
14897.96            	0.05000000          	0.000000            	0.03807130          	0.000009225320      	-19.73555           	0.2295386           	0.3715789           	0.00003948471       	-51.47372           	0.09068735          
14899.21            	0.03500000          	0.000000            	0.02665682          	0.000002532432      	-19.32850           	0.1545601           	0.2603380           	0.00004005147       	-51.25871           	0.07315330          
14927.12            	0.05000000          	0.000000            	0.03755273          	0.00002017475       	-19.59840           	0.1608001           	0.3775995           	0.00001349222       	-52.79896           	0.02619710          
14942.14            	0.03500000          	0.000000            	0.02613175          	0.00001562685       	-19.61111           	0.09140308          	0.2664729           	0.00002708855       	-53.04895           	0.07782697          
14960.44            	0.05000000          	0.000000            	0.03694807          	0.00002459293       	-19.59985           	0.1180727           	0.3844857           	0.00002157283       	-54.24300           	0.03324253          
14985.07            	0.03500000          	0.000000            	0.02557501          	0.00001564569       	-19.73509           	0.1035947           	0.2726763           	0.00006498490       	-55.05770           	0.06135636          
14993.75            	0.05000000          	0.000000            	0.03636863          	0.00002046819       	-20.14336           	0.1507766           	0.3913529           	0.00001554574       	-55.75619           	0.03484374          
15027.07            	0.05000000          	0.000000            	0.03570448          	0.00003308550       	-19.90269           	0.06816830          	0.3981324           	0.00002751630       	-57.30755           	0.02999552          
15028.00            	0.03500000          	0.000000            	0.02501789          	0.00006167225       	-19.35334           	0.1596019           	0.2787651           	0.00006738298       	-57.07739           	0.03782984          
15060.39            	0.05000000          	0.000000            	0.03505496          	0.00001089472       	-19.62641           	0.1455833           	0.4048346           	0.00008688120       	-59.00704           	0.04201990          
15070.93            	0.03500000          	0.000000            	0.02435909          	0.00004053397       	-19.37055           	0.1456399           	0.2849375           	0.00005180878       	-59.14334           	0.03538946          
15093.71            	0.05000000          	0.000000            	0.03432783          	0.000004751280      	-19.12739           	0.03676847          	0.4114886           	0.00001864723       	-60.78660           	0.1010636           
15102.04            	0.05000000          	0.000000            	0.03413757          	0.00002019457       	-19.61212           	0.07028676          	0.4131130           	0.000006808625      	-61.25663           	0.01027945          
15113.87            	0.03500000          	0.000000            	0.02374258          	0.00001361559       	-19.07744           	0.1002854           	0.2908302           	0.00001398386       	-61.47636           	0.06270350          
15127.03            	0.05000000          	0.000000            	0.03361871          	0.00002445075       	-19.21940           	0.1250445           	0.4179847           	0.00005923632       	-62.60391           	0.03502200          
15156.80            	0.03500000          	0.000000            	0.02313920          	0.00003322723       	-18.58362           	0.2366632           	0.2965766           	0.00005406342       	-63.91092           	0.02629729          
15160.35            	0.05000000          	0.000000            	0.03290339          	0.00003040321       	-18.85307           	0.1409446           	0.4241790           	0.00002331552       	-64.42749           	0.07767806          
15193.67            	0.03500000          	0.000000            	0.02249133          	0.00003537224       	-17.96268           	0.4668205           	0.3013003           	0.00005452716       	-65.90129           	0.03864447          
15193.67            	0.05000000          	0.000000            	0.03217582          	0.00005805961       	-17.95735           	0.1348623           	0.4302963           	0.0001140215        	-66.25975           	0.06229269          
15199.73            	0.03500000          	0.000000            	0.02256421          	0.00002417365       	-17.64963           	0.05117440          	0.3019260           	0.00005720677       	-66.19189           	0.02222765          
